State,Abbreviation,Mode,ProportionCommute
Ohio,oh,Bicycle,0.002869904
Ohio,oh,Walk,0.023694021
Ohio,oh,Work from home,0.035185178
Ohio,oh,Other,0.005189679
Oklahoma,ok,"Car, truck, or van",0.924044876
Oklahoma,ok,Bus,0.003954417
Oklahoma,ok,Streetcar,2.53E-05
Oklahoma,ok,Subway,7.58E-05
Oklahoma,ok,Railroad,5.05E-05
Oklahoma,ok,Ferryboat,7.58E-05
Oklahoma,ok,Taxicab,0.000416919
Oklahoma,ok,Motorcycle,0.002918435
Oklahoma,ok,Bicycle,0.002034061
Oklahoma,ok,Walk,0.019835254
Oklahoma,ok,Work from home,0.038824035
Oklahoma,ok,Other,0.007744593
Oregon,or,"Car, truck, or van",0.823273374
Oregon,or,Bus,0.029422374
Oregon,or,Streetcar,0.003054059
Oregon,or,Subway,0.002825606
Oregon,or,Railroad,0.00168334
Oregon,or,Ferryboat,4.81E-05
Oregon,or,Taxicab,0.000360716
Oregon,or,Motorcycle,0.003691324
Oregon,or,Bicycle,0.02226818
Oregon,or,Walk,0.03970277
Oregon,or,Work from home,0.066984898
Oregon,or,Other,0.006685264
Pennsylvania,pa,"Car, truck, or van",0.874191152
Pennsylvania,pa,Bus,0.024323881
Pennsylvania,pa,Streetcar,0.000987187
Pennsylvania,pa,Subway,0.004273161
Pennsylvania,pa,Railroad,0.00716147
Pennsylvania,pa,Ferryboat,3.84E-05
Pennsylvania,pa,Taxicab,0.000729054
Pennsylvania,pa,Motorcycle,0.001817402
Pennsylvania,pa,Bicycle,0.003397599
Pennsylvania,pa,Walk,0.037111971
Pennsylvania,pa,Work from home,0.040035162
Pennsylvania,pa,Other,0.00593359
Rhode Island,ri,"Car, truck, or van",0.889072514
Rhode Island,ri,Bus,0.019710589
Rhode Island,ri,Streetcar,0.000120924
Rhode Island,ri,Subway,0.000967391
Rhode Island,ri,Railroad,0.005683421
Rhode Island,ri,Ferryboat,4.03E-05
Rhode Island,ri,Taxicab,0.000524003
Rhode Island,ri,Motorcycle,0.001048007
Rhode Island,ri,Bicycle,0.003909871
